City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,Iturama,-19.7281,-50.1956,72.07,33,0,5.46,BR,2022-11-17 01:35:51
242,Leh,34.1667,77.5833,15.48,88,96,2.19,IN,2022-11-17 01:35:51
243,Campoverde,-8.4753,-74.8058,73.09,99,67,0.89,PE,2022-11-17 01:35:52
244,Vila Velha,-20.3297,-40.2925,71.55,98,100,3.44,BR,2022-11-17 01:35:50
245,Boca Do Acre,-8.7522,-67.3978,74.17,91,76,1.81,BR,2022-11-17 01:35:52
246,Semporna,4.4818,118.6112,82.69,80,100,5.61,MY,2022-11-17 01:35:53
247,Bubaque,11.2833,-15.8333,83.03,69,100,4.18,GW,2022-11-17 01:35:53
248,Miraflores,19.2167,-98.8083,66.87,61,2,4.25,MX,2022-11-17 01:35:53
249,Aguimes,27.9054,-15.4461,72.66,34,0,6.91,ES,2022-11-17 01:35:54
250,Fort-Shevchenko,44.5086,50.263,46.33,60,100,26.13,KZ,2022-11-17 01:35:54
251,Seminole,28.7086,-81.2081,72.05,87,40,8.05,US,2022-11-17 01:32:14
252,Ribeira Grande,38.5167,-28.7,62.78,63,15,8.01,PT,2022-11-17 01:35:55
253,Kavieng,-2.5744,150.7967,84.97,69,82,8.97,PG,2022-11-17 01:35:55
254,Vega De Alatorre,20.0333,-96.6333,66.94,84,100,16.49,MX,2022-11-17 01:35:55
255,Nome,64.5011,-165.4064,32.11,80,100,21.85,US,2022-11-17 01:35:55
256,Broken Hill,-31.95,141.4333,63.55,34,0,8.79,AU,2022-11-17 01:33:31
257,Tasiilaq,65.6145,-37.6368,35.76,83,99,26.44,GL,2022-11-17 01:31:45
258,Deputatskiy,69.3,139.9,-28.77,100,84,2.39,RU,2022-11-17 01:35:56
259,Altamira,-3.2033,-52.2064,78.3,65,74,2.19,BR,2022-11-17 01:35:56
260,Luderitz,-26.6481,15.1594,59.23,83,15,13.06,NA,2022-11-17 01:35:57
261,Erenhot,43.6475,111.9767,32.97,38,7,6.53,CN,2022-11-17 01:35:57
262,Banjar,-8.19,114.9675,83.34,75,99,1.45,ID,2022-11-17 01:35:57
263,Nioro,13.35,-15.75,75.88,71,89,3.27,GM,2022-11-17 01:35:58
264,Murray Bridge,-35.1167,139.2667,67.33,40,0,7.49,AU,2022-11-17 01:35:58
265,Bansang,13.4333,-14.65,77.56,58,57,4.09,GM,2022-11-17 01:35:58
266,Likhoslavl,57.1275,35.464,26.38,92,100,3.33,RU,2022-11-17 01:35:59
267,Salekhard,66.53,66.6019,4.3,88,29,8.46,RU,2022-11-17 01:35:59
268,Ixtapa,20.7,-105.2,76.23,83,0,6.91,MX,2022-11-17 01:35:20
269,Palmeira Das Missoes,-27.8994,-53.3136,61.45,57,2,6.02,BR,2022-11-17 01:35:59
270,Viedma,-40.8135,-62.9967,57.31,60,0,12.1,AR,2022-11-17 01:36:00
271,Mayo,38.8876,-76.5119,45.1,64,100,17.27,US,2022-11-17 01:36:00
272,Tilichiki,60.4667,166.1,12.54,90,20,4.56,RU,2022-11-17 01:36:00
273,Krasnoselkup,65.7,82.4667,-22.81,100,37,4.29,RU,2022-11-17 01:36:01
274,Aubergenville,48.96,1.8547,55.81,79,99,5.01,FR,2022-11-17 01:36:01
275,Bilibino,68.0546,166.4372,-6.14,99,90,1.05,RU,2022-11-17 01:36:01
276,Kavaratti,10.5669,72.642,81.66,72,100,4.45,IN,2022-11-17 01:36:02
